console_display,full_title,total_search_results,tune_title,tune_slug,composer,meter,incipit,key,place_of_origin,copyright,num_hymnals,midi_url,recording_url,pdf_url,hymnary_url
AMightyFortress,A Mighty Fortress,10,AUSTRIAN HYMN,austrian_hymn_haydn,Joseph Haydn (1797),8.7.8.7 D,12324 32716 54323,E♭ Major,,Public Domain,803,https://hymnary.org/media/fetch/80374,https://hymnary.org/media/fetch/222441,https://hymnary.org/media/fetch/80375,https://hymnary.org/tune/austrian_hymn_haydn
AMightyFortress,A Mighty Fortress,10,EIN FESTE BURG,ein_feste_burg_luther,Martin Luther (1529),8.7.8.7.6.6.6.6.7,11156 71765 17656,C Major/D Major,Germany,Public Domain,743,https://hymnary.org/media/fetch/80063,https://hymnary.org/media/fetch/222239,https://hymnary.org/media/fetch/80064,https://hymnary.org/tune/ein_feste_burg_luther
AMightyFortress,A Mighty Fortress,10,HYFRYDOL,hyfrydol_prichard,Rowland H. Prichard (1830),8.7.8.7 D,12123 43212 54332,A♭ Major,Wales,Public Domain,646,https://hymnary.org/media/fetch/79990,https://hymnary.org/media/fetch/222245,https://hymnary.org/media/fetch/79991,https://hymnary.org/tune/hyfrydol_prichard
AMightyFortress,A Mighty Fortress,10,BATTLE HYMN OF THE REPUBLIC,battle_hymn_of_the_republic_american,,15.15.15.6 with refrain,55554 35123 33211,B♭ Major,,Public Domain,514,https://hymnary.org/media/fetch/81270,https://hymnary.org/media/fetch/222853,https://hymnary.org/media/fetch/81271,https://hymnary.org/tune/battle_hymn_of_the_republic_american
AMightyFortress,A Mighty Fortress,10,NOTTINGHAM (Mozart),nottingham_mozart,Wenzel Müller,7.7.7.7,11765 44353 54213,F Major,,Public Domain,236,https://hymnary.org/media/fetch/81294,https://hymnary.org/media/fetch/221506,https://hymnary.org/media/fetch/81295,https://hymnary.org/tune/nottingham_mozart
AbidewithMe,Abide with Me,10,RATHBUN,rathbun_conkey,Ithamar Conkey (1851),8.7.8.7,51317 65155 63234,B♭ Major,,Public Domain,905,https://hymnary.org/media/fetch/80156,https://hymnary.org/media/fetch/199114,https://hymnary.org/media/fetch/80157,https://hymnary.org/tune/rathbun_conkey
AbidewithMe,Abide with Me,10,HE LEADETH ME (Bradbury),he_leadeth_me_bradbury,William B. Bradbury (1864),8.8.8.8 D,53215 64465 33213,D Major,,Public Domain,728,https://hymnary.org/media/fetch/80554,https://hymnary.org/media/fetch/222237,https://hymnary.org/media/fetch/80555,https://hymnary.org/tune/he_leadeth_me_bradbury
AbidewithMe,Abide with Me,10,PASSION CHORALE (Hassler),passion_chorale_hassler,Hans Leo Hassler (1601),7.6.7.6 D,51765 45233 221,a minor,,Public Domain,598,https://hymnary.org/media/fetch/80244,https://hymnary.org/media/fetch/222220,https://hymnary.org/media/fetch/80245,https://hymnary.org/tune/passion_chorale_hassler
AbidewithMe,Abide with Me,10,TRUST AND OBEY,trust_and_obey_towner,D. B. Towner (1887),6.6.9 D with refrain,12332 11355 43334,F Major or modal,,Public Domain,420,https://hymnary.org/media/fetch/81020,https://hymnary.org/media/fetch/222514,https://hymnary.org/media/fetch/81021,https://hymnary.org/tune/trust_and_obey_towner
AbidewithMe,Abide with Me,10,PUER NOBIS NASCITUR,puer_nobis_nascitur_praetorius,,8.8.8.8,11234 32115 55671,D Major,Germany,Public Domain,239,https://hymnary.org/media/fetch/81997,https://hymnary.org/media/fetch/222210,https://hymnary.org/media/fetch/81998,https://hymnary.org/tune/puer_nobis_nascitur_praetorius
AhHoly Jesus,Ah! Holy Jesus,10,FLEMMING,flemming_flemming,F. F. Flemming (1811),11.11.11.5,11122 31121 73333,A♭ Major/B♭ Major,,Public Domain,477,https://hymnary.org/media/fetch/81683,https://hymnary.org/media/fetch/180303,https://hymnary.org/media/fetch/81684,https://hymnary.org/tune/flemming_flemming
AhHoly Jesus,Ah! Holy Jesus,10,REFUGE (Holbrook),refuge_holbrook,Joseph P. Holbrook (1862),7.7.7.7 D,33314 33112 34654,D♭ Major,,Public Domain,347,https://hymnary.org/media/fetch/153921,https://hymnary.org/media/fetch/188935,https://hymnary.org/media/fetch/188934,https://hymnary.org/tune/refuge_holbrook
AhHoly Jesus,Ah! Holy Jesus,10,VOM HIMMEL HOCH,vom_himmel_hoch_luther,Martin Luther (1535),8.8.8.8,17675 67111 55345,C Major,,Public Domain,312,https://hymnary.org/media/fetch/82754,https://hymnary.org/media/fetch/199474,https://hymnary.org/media/fetch/82755,https://hymnary.org/tune/vom_himmel_hoch_luther
AhHoly Jesus,Ah! Holy Jesus,10,HOLLINGSIDE,hollingside_dykes,John Bacchus Dykes (1861),7.7.7.7,35655 43176 53123,D Major,,Public Domain,308,https://hymnary.org/media/fetch/81787,https://hymnary.org/media/fetch/179400,https://hymnary.org/media/fetch/81788,https://hymnary.org/tune/hollingside_dykes
AhHoly Jesus,Ah! Holy Jesus,10,ABERYSTWYTH (Parry),aberystwyth_parry,Joseph Parry (1879),7.7.7.7 D,11234 53213 21712,d minor,,Public Domain,295,https://hymnary.org/media/fetch/80011,https://hymnary.org/media/fetch/222268,https://hymnary.org/media/fetch/80012,https://hymnary.org/tune/aberystwyth_parry
DidMy SaviorBleed,Alas! And Did My Savior Bleed,10,NAOMI (Nägeli),naomi_nageli,,8.6.8.6,33354 32343 36654,D Major,,Public Domain,517,https://hymnary.org/media/fetch/81698,https://hymnary.org/media/fetch/157885,https://hymnary.org/media/fetch/81699,https://hymnary.org/tune/naomi_nageli
DidMy SaviorBleed,Alas! And Did My Savior Bleed,10,HUDSON (Hudson 13213),hudson_hudson_13213,R. E. Hudson (1885),8.6.8.6 D,13213 54356 54321,E♭ Major,,Public Domain,446,https://hymnary.org/media/fetch/80397,https://hymnary.org/media/fetch/199170,https://hymnary.org/media/fetch/80398,https://hymnary.org/tune/hudson_hudson_13213
DidMy SaviorBleed,Alas! And Did My Savior Bleed,10,O HOW I LOVE JESUS,o_how_i_love_jesus_13332,Anonymous,8.6.8.6 D,13332 31111 22212,A♭ Major,,Public Domain,371,https://hymnary.org/media/fetch/80142,https://hymnary.org/media/fetch/199000,https://hymnary.org/media/fetch/80143,https://hymnary.org/tune/o_how_i_love_jesus_13332
DidMy SaviorBleed,Alas! And Did My Savior Bleed,10,[Alas! and did my Savior bleed] (Hull),alas_and_did_my_savior_bleed_hull,Asa Hull (1867),8.6.8.6,33224 43355 31323,F Major,,Public Domain,169,https://hymnary.org/media/fetch/110200,https://hymnary.org/media/fetch/186636,https://hymnary.org/media/fetch/110202,https://hymnary.org/tune/alas_and_did_my_savior_bleed_hull
DidMy SaviorBleed,Alas! And Did My Savior Bleed,10,[Alas! and did my Savior bleed?] (55311),alas_and_did_my_savior_bleed_55311,,,55311 61113 15325,F Major,,Public Domain,133,https://hymnary.org/media/fetch/154167,,,https://hymnary.org/tune/alas_and_did_my_savior_bleed_55311
AllCreatures,All Creatures of Our God and King,10,TRURO (Williams),truro_williams,Charles Burney,8.8.8.8,13455 67151 54321,C Major/E♭ Major,,Public Domain,574,https://hymnary.org/media/fetch/82648,https://hymnary.org/media/fetch/222380,https://hymnary.org/media/fetch/82649,https://hymnary.org/tune/truro_williams
AllCreatures,All Creatures of Our God and King,10,LASST UNS ERFREUEN,lasst_uns_erfreuen,,8.8.4.4.8.8 with refrain,11231 34511 23134,D Major,Germany,Public Domain,554,https://hymnary.org/media/fetch/79984,https://hymnary.org/media/fetch/222231,https://hymnary.org/media/fetch/79985,https://hymnary.org/tune/lasst_uns_erfreuen
AllCreatures,All Creatures of Our God and King,10,TALLIS' CANON,tallis_canon_11711,Thomas Tallis (c. 1561),8.8.8.8,11711 22343 14433,G Major,England,Public Domain,413,https://hymnary.org/media/fetch/81101,https://hymnary.org/media/fetch/222454,https://hymnary.org/media/fetch/81102,https://hymnary.org/tune/tallis_canon_11711
AllCreatures,All Creatures of Our God and King,10,SINE NOMINE,sine_nomine_vaughan_williams,Ralph Vaughan Williams (1906),10.10.10.4 with alleluias,53215 61253 32177,F Major/G Major,,Public Domain,259,https://hymnary.org/media/fetch/80088,https://hymnary.org/media/fetch/222445,https://hymnary.org/media/fetch/80089,https://hymnary.org/tune/sine_nomine_vaughan_williams
AllCreatures,All Creatures of Our God and King,10,O DASS ICH TAUSEND ZUNGEN HÄTTE (König),o_dass_ich_tausend_zungen_hatte_konig,Johann Balthasar König (1738),9.8.9.8.8.8,53565 43213 21234,E♭ Major,,Public Domain,158,https://hymnary.org/media/fetch/81030,https://hymnary.org/media/fetch/205855,https://hymnary.org/media/fetch/81031,https://hymnary.org/tune/o_dass_ich_tausend_zungen_hatte_konig
GloryLaudHonor,"All Glory, Laud, and Honor",10,AUSTRIAN HYMN,austrian_hymn_haydn,Joseph Haydn (1797),8.7.8.7 D,12324 32716 54323,E♭ Major,,Public Domain,803,https://hymnary.org/media/fetch/80374,https://hymnary.org/media/fetch/222441,https://hymnary.org/media/fetch/80375,https://hymnary.org/tune/austrian_hymn_haydn
GloryLaudHonor,"All Glory, Laud, and Honor",10,ST. THEODULPH (Teschner),st_theodulph_teschner,Melchior Teschner (1613),7.6.7.6 D,15567 11321 17151,B♭ Major/C Major,,Public Domain,661,https://hymnary.org/media/fetch/80070,https://hymnary.org/media/fetch/222218,https://hymnary.org/media/fetch/80071,https://hymnary.org/tune/st_theodulph_teschner
GloryLaudHonor,"All Glory, Laud, and Honor",10,ROCKINGHAM (Miller),rockingham_miller,,8.8.8.8,13421 35655 17655,D Major/E♭ Major,,Public Domain,562,https://hymnary.org/media/fetch/82015,https://hymnary.org/media/fetch/199118,https://hymnary.org/media/fetch/82016,https://hymnary.org/tune/rockingham_miller
GloryLaudHonor,"All Glory, Laud, and Honor",10,MUNICH (Mendelssohn),munich_mendelssohn,,7.6.7.6 D,12365 43335 43221,D Major,,Public Domain,391,https://hymnary.org/media/fetch/80351,https://hymnary.org/media/fetch/222357,https://hymnary.org/media/fetch/80352,https://hymnary.org/tune/munich_mendelssohn
GloryLaudHonor,"All Glory, Laud, and Honor",10,EBENEZER (Williams),ebenezer_williams,Thomas John Williams (1890),8.7.8.7 D,11232 12234 3215,f minor,,Public Domain,317,https://hymnary.org/media/fetch/80839,https://hymnary.org/media/fetch/198939,https://hymnary.org/media/fetch/80840,https://hymnary.org/tune/ebenezer_williams
All Hail Power-A,All Hail the Power of Jesus' Name - A,10,MILES LANE (Shrubsole),miles_lane_shrubsole,William Shrubsole (1779),8.6.8 with refrasin,51112 32125 65432,A Major,,Public Domain,436,https://hymnary.org/media/fetch/80085,https://hymnary.org/media/fetch/221080,https://hymnary.org/media/fetch/80086,https://hymnary.org/tune/miles_lane_shrubsole
All Hail Power-A,All Hail the Power of Jesus' Name - A,10,JOYFUL SONG (Allen),joyful_song_allen,Chester G. Allen (1869),12.10.12.10.11.10.12.10,35132 32176 51351,G Major,,Public Domain,310,https://hymnary.org/media/fetch/80145,https://hymnary.org/media/fetch/222368,https://hymnary.org/media/fetch/80146,https://hymnary.org/tune/joyful_song_allen
All Hail Power-A,All Hail the Power of Jesus' Name - A,10,DIADEM (Ellor),diadem_ellor,James Ellor (1838),8.6.6.8 with refrain,51234 51217 17655,A♭ Major,England,Public Domain,305,https://hymnary.org/media/fetch/80082,https://hymnary.org/media/fetch/222426,https://hymnary.org/media/fetch/80083,https://hymnary.org/tune/diadem_ellor
All Hail Power-A,All Hail the Power of Jesus' Name - A,10,LAUD (Dykes),laud_dykes,John Bacchus Dykes (1862),8.6.8.6,51112 32154 33222,A Major,,Public Domain,67,https://hymnary.org/media/fetch/82388,,https://hymnary.org/media/fetch/82389,https://hymnary.org/tune/laud_dykes
All Hail Power-A,All Hail the Power of Jesus' Name - A,10,LET US CROWN HIM (McGranahan),let_us_crown_him_mcgranahan,James McGranahan (1891),,13555 43211 15123,F Major,,Public Domain,26,https://hymnary.org/media/fetch/194043,,,https://hymnary.org/tune/let_us_crown_him_mcgranahan
All Hail Power-B,All Hail the Power of Jesus' Name - B,10,MILES LANE (Shrubsole),miles_lane_shrubsole,William Shrubsole (1779),8.6.8 with refrasin,51112 32125 65432,A Major,,Public Domain,436,https://hymnary.org/media/fetch/80085,https://hymnary.org/media/fetch/221080,https://hymnary.org/media/fetch/80086,https://hymnary.org/tune/miles_lane_shrubsole
All Hail Power-B,All Hail the Power of Jesus' Name - B,10,JOYFUL SONG (Allen),joyful_song_allen,Chester G. Allen (1869),12.10.12.10.11.10.12.10,35132 32176 51351,G Major,,Public Domain,310,https://hymnary.org/media/fetch/80145,https://hymnary.org/media/fetch/222368,https://hymnary.org/media/fetch/80146,https://hymnary.org/tune/joyful_song_allen
All Hail Power-B,All Hail the Power of Jesus' Name - B,10,DIADEM (Ellor),diadem_ellor,James Ellor (1838),8.6.6.8 with refrain,51234 51217 17655,A♭ Major,England,Public Domain,305,https://hymnary.org/media/fetch/80082,https://hymnary.org/media/fetch/222426,https://hymnary.org/media/fetch/80083,https://hymnary.org/tune/diadem_ellor
All Hail Power-B,All Hail the Power of Jesus' Name - B,10,LAUD (Dykes),laud_dykes,John Bacchus Dykes (1862),8.6.8.6,51112 32154 33222,A Major,,Public Domain,67,https://hymnary.org/media/fetch/82388,,https://hymnary.org/media/fetch/82389,https://hymnary.org/tune/laud_dykes
All Hail Power-B,All Hail the Power of Jesus' Name - B,10,LET US CROWN HIM (McGranahan),let_us_crown_him_mcgranahan,James McGranahan (1891),,13555 43211 15123,F Major,,Public Domain,26,https://hymnary.org/media/fetch/194043,,,https://hymnary.org/tune/let_us_crown_him_mcgranahan
All People EarthDo,All People That on Earth Do Dwell,10,SESSIONS,sessions_emerson,L. O. Emerson (1847),8.8.8.8,56515 65123 22322,C Major,,Public Domain,309,https://hymnary.org/media/fetch/116155,,https://hymnary.org/media/fetch/116157,https://hymnary.org/tune/sessions_emerson
All People EarthDo,All People That on Earth Do Dwell,10,EISENACH (Gesius),eisenach_schein,Bartholomäus Gesius,8.7.8.7.8.8,13455 43256 71766,D Major,,Public Domain,301,https://hymnary.org/media/fetch/81634,https://hymnary.org/media/fetch/205836,https://hymnary.org/media/fetch/81635,https://hymnary.org/tune/eisenach_schein
All People EarthDo,All People That on Earth Do Dwell,10,LOBT GOTT IHR CHRISTEN,lobt_gott_ihr_christen_herman,Nikolaus Herman (1560),8.6.8.6,15555 65432 34566,E♭ Major,,Public Domain,241,https://hymnary.org/media/fetch/81067,https://hymnary.org/media/fetch/199490,https://hymnary.org/media/fetch/81068,https://hymnary.org/tune/lobt_gott_ihr_christen_herman
All People EarthDo,All People That on Earth Do Dwell,10,WELLS (Holdroyd),wells_holdroyd,Israel Holdroyd,8.8.8.8,13517 16555 55342,G Major,,Public Domain,80,https://hymnary.org/media/fetch/84708,https://hymnary.org/media/fetch/219938,,https://hymnary.org/tune/wells_holdroyd
All People EarthDo,All People That on Earth Do Dwell,10,[Praise God from whom all blessings flow] (Hatton),praise_god_from_whom_all_blessing_martin,John Warrington Hatton,8.8.8.8,13456 71765 13455,C Major,,Adapt. © 1967 by Roberta Martin,18,https://hymnary.org/media/fetch/105054,https://hymnary.org/media/fetch/152928,https://hymnary.org/media/fetch/147908,https://hymnary.org/tune/praise_god_from_whom_all_blessing_martin
AllPraise TheeGod,"All Praise to Thee, My God, This Night",10,LOBE DEN HERREN,lobe_den_herren_115321,Anonymous (1665),14.14.4.7.8,11532 17656 7121,F Major,Germany,Public Domain,478,https://hymnary.org/media/fetch/79987,https://hymnary.org/media/fetch/222475,https://hymnary.org/media/fetch/79988,https://hymnary.org/tune/lobe_den_herren_115321
